location;iso_code;date;total_vaccinations;people_vaccinated;people_fully_vaccinated;daily_vaccinations_raw;daily_vaccinations;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;daily_vaccinations_per_million
Afghanistan;AFG;22.02.2021;0;0;;;;0;0;;
Afghanistan;AFG;23.02.2021;;;;;1367;;;;35
Afghanistan;AFG;24.02.2021;;;;;1367;;;;35
Afghanistan;AFG;25.02.2021;;;;;1367;;;;35
Afghanistan;AFG;26.02.2021;;;;;1367;;;;35
Afghanistan;AFG;27.02.2021;;;;;1367;;;;35
Afghanistan;AFG;28.02.2021;8200;8200;;;1367;0.02;0.02;;35
Afghanistan;AFG;01.03.2021;;;;;1580;;;;41
Afghanistan;AFG;02.03.2021;;;;;1794;;;;46
Afghanistan;AFG;03.03.2021;;;;;2008;;;;52
Afghanistan;AFG;04.03.2021;;;;;2221;;;;57
Afghanistan;AFG;05.03.2021;;;;;2435;;;;63
Afghanistan;AFG;06.03.2021;;;;;2649;;;;68
Afghanistan;AFG;07.03.2021;;;;;2862;;;;74
Afghanistan;AFG;08.03.2021;;;;;2862;;;;74
Afghanistan;AFG;09.03.2021;;;;;2862;;;;74
Afghanistan;AFG;10.03.2021;;;;;2862;;;;74
Afghanistan;AFG;11.03.2021;;;;;2862;;;;74
Afghanistan;AFG;12.03.2021;;;;;2862;;;;74
Afghanistan;AFG;13.03.2021;;;;;2862;;;;74
Afghanistan;AFG;14.03.2021;;;;;2862;;;;74
Afghanistan;AFG;15.03.2021;;;;;2862;;;;74
Afghanistan;AFG;16.03.2021;54000;54000;;;2862;0.14;0.14;;74
Afghanistan;AFG;17.03.2021;;;;;2882;;;;74
Afghanistan;AFG;18.03.2021;;;;;2902;;;;75
Afghanistan;AFG;19.03.2021;;;;;2921;;;;75
Afghanistan;AFG;20.03.2021;;;;;2941;;;;76
Afghanistan;AFG;21.03.2021;;;;;2961;;;;76
Afghanistan;AFG;22.03.2021;;;;;2980;;;;77
Afghanistan;AFG;23.03.2021;;;;;3000;;;;77
Afghanistan;AFG;24.03.2021;;;;;3000;;;;77
Afghanistan;AFG;25.03.2021;;;;;3000;;;;77
Afghanistan;AFG;26.03.2021;;;;;3000;;;;77
Afghanistan;AFG;27.03.2021;;;;;3000;;;;77
Afghanistan;AFG;28.03.2021;;;;;3000;;;;77
Afghanistan;AFG;29.03.2021;;;;;3000;;;;77
Afghanistan;AFG;30.03.2021;;;;;3000;;;;77
Afghanistan;AFG;31.03.2021;;;;;3000;;;;77
Afghanistan;AFG;01.04.2021;;;;;3000;;;;77
Afghanistan;AFG;02.04.2021;;;;;3000;;;;77
Afghanistan;AFG;03.04.2021;;;;;3000;;;;77
Afghanistan;AFG;04.04.2021;;;;;3000;;;;77
Afghanistan;AFG;05.04.2021;;;;;3000;;;;77
Afghanistan;AFG;06.04.2021;;;;;3000;;;;77
Afghanistan;AFG;07.04.2021;120000;120000;;;3000;0.31;0.31;;77
Afghanistan;AFG;08.04.2021;;;;;3714;;;;95
Afghanistan;AFG;09.04.2021;;;;;4429;;;;114
Afghanistan;AFG;10.04.2021;;;;;5143;;;;132
Afghanistan;AFG;11.04.2021;;;;;5857;;;;150
Afghanistan;AFG;12.04.2021;;;;;6571;;;;169
Afghanistan;AFG;13.04.2021;;;;;7286;;;;187
Afghanistan;AFG;14.04.2021;;;;;8000;;;;206
Afghanistan;AFG;15.04.2021;;;;;8000;;;;206
Afghanistan;AFG;16.04.2021;;;;;8000;;;;206
Afghanistan;AFG;17.04.2021;;;;;8000;;;;206
Afghanistan;AFG;18.04.2021;;;;;8000;;;;206
Afghanistan;AFG;19.04.2021;;;;;8000;;;;206
Afghanistan;AFG;20.04.2021;;;;;8000;;;;206
Afghanistan;AFG;21.04.2021;;;;;8000;;;;206
Afghanistan;AFG;22.04.2021;240000;240000;;;8000;0.62;0.62;;206
Afghanistan;AFG;23.04.2021;;;;;8846;;;;227
Afghanistan;AFG;24.04.2021;;;;;9692;;;;249
Afghanistan;AFG;25.04.2021;;;;;10538;;;;271
Afghanistan;AFG;26.04.2021;;;;;11384;;;;292
Afghanistan;AFG;27.04.2021;;;;;12229;;;;314
Afghanistan;AFG;28.04.2021;;;;;13075;;;;336
Afghanistan;AFG;29.04.2021;;;;;13921;;;;358
Afghanistan;AFG;30.04.2021;;;;;13921;;;;358
Afghanistan;AFG;01.05.2021;;;;;13921;;;;358
Afghanistan;AFG;02.05.2021;;;;;13921;;;;358
Afghanistan;AFG;03.05.2021;;;;;13921;;;;358
Afghanistan;AFG;04.05.2021;;;;;13921;;;;358
Afghanistan;AFG;05.05.2021;;;;;13921;;;;358
Afghanistan;AFG;06.05.2021;;;;;13921;;;;358
Afghanistan;AFG;07.05.2021;;;;;13921;;;;358
Afghanistan;AFG;08.05.2021;;;;;13921;;;;358
Afghanistan;AFG;09.05.2021;;;;;13921;;;;358
Afghanistan;AFG;10.05.2021;;;;;13921;;;;358
Afghanistan;AFG;11.05.2021;504502;448878;55624;;13921;1.3;1.15;0.14;358
Afghanistan;AFG;12.05.2021;;;;;12621;;;;324
Afghanistan;AFG;13.05.2021;;;;;11321;;;;291
Afghanistan;AFG;14.05.2021;;;;;10022;;;;257
Afghanistan;AFG;15.05.2021;;;;;8722;;;;224
Afghanistan;AFG;16.05.2021;;;;;7422;;;;191
Afghanistan;AFG;17.05.2021;;;;;6122;;;;157
Afghanistan;AFG;18.05.2021;;;;;4822;;;;124
Afghanistan;AFG;19.05.2021;;;;;4822;;;;124
Afghanistan;AFG;20.05.2021;547901;470341;77560;;4822;1.41;1.21;0.2;124
Afghanistan;AFG;21.05.2021;;;;;5040;;;;129
Afghanistan;AFG;22.05.2021;;;;;5257;;;;135
Afghanistan;AFG;23.05.2021;;;;;5474;;;;141
Afghanistan;AFG;24.05.2021;573277;476367;96910;;5692;1.47;1.22;0.25;146
Afghanistan;AFG;25.05.2021;;;;;6230;;;;160
Afghanistan;AFG;26.05.2021;590454;479372;111082;;6768;1.52;1.23;0.29;174
Afghanistan;AFG;27.05.2021;593313;479574;113739;2859;6487;1.52;1.23;0.29;167
Afghanistan;AFG;28.05.2021;;;;;5907;;;;152
Afghanistan;AFG;29.05.2021;;;;;5326;;;;137
Afghanistan;AFG;30.05.2021;600152;480226;119926;;4746;1.54;1.23;0.31;122
Afghanistan;AFG;31.05.2021;;;;;5084;;;;131
Afghanistan;AFG;01.06.2021;;;;;5102;;;;131
Afghanistan;AFG;02.06.2021;626290;481690;144600;;5119;1.61;1.24;0.37;131
Afghanistan;AFG;03.06.2021;630305;481800;148505;4015;5285;1.62;1.24;0.38;136
Afghanistan;AFG;04.06.2021;;;;;5273;;;;135
Afghanistan;AFG;05.06.2021;;;;;5261;;;;135
Afghanistan;AFG;06.06.2021;;;;;5250;;;;135
Afghanistan;AFG;07.06.2021;;;;;4319;;;;111
Afghanistan;AFG;08.06.2021;641295;482952;158343;;3388;1.65;1.24;0.41;87
Afghanistan;AFG;09.06.2021;;;;;2637;;;;68
Afghanistan;AFG;10.06.2021;;;;;2556;;;;66
Afghanistan;AFG;11.06.2021;;;;;2735;;;;70
Afghanistan;AFG;12.06.2021;;;;;2914;;;;75
Afghanistan;AFG;13.06.2021;;;;;3093;;;;79
Afghanistan;AFG;14.06.2021;662003;484737;177266;;3272;1.7;1.25;0.46;84
Afghanistan;AFG;15.06.2021;;;;;4813;;;;124
Afghanistan;AFG;16.06.2021;;;;;6175;;;;159
Afghanistan;AFG;17.06.2021;;;;;7538;;;;194
Afghanistan;AFG;18.06.2021;;;;;8900;;;;229
Afghanistan;AFG;19.06.2021;;;;;10262;;;;264
Afghanistan;AFG;20.06.2021;;;;;11624;;;;299
Afghanistan;AFG;21.06.2021;;;;;12986;;;;334
Afghanistan;AFG;22.06.2021;765890;582128;183762;;12986;1.97;1.5;0.47;334
Afghanistan;AFG;23.06.2021;;;;;13125;;;;337
Afghanistan;AFG;24.06.2021;;;;;13264;;;;341
Afghanistan;AFG;25.06.2021;;;;;13404;;;;344
Afghanistan;AFG;26.06.2021;;;;;13543;;;;348
Afghanistan;AFG;27.06.2021;835694;649434;186260;;13682;2.15;1.67;0.48;351
Afghanistan;AFG;28.06.2021;;;;;14263;;;;366
Afghanistan;AFG;29.06.2021;;;;;14844;;;;381
Afghanistan;AFG;30.06.2021;886854;699200;187654;;15286;2.28;1.8;0.48;393
Afghanistan;AFG;01.07.2021;;;;;14115;;;;363
Afghanistan;AFG;02.07.2021;;;;;12944;;;;333
Afghanistan;AFG;03.07.2021;;;;;11773;;;;302
Afghanistan;AFG;04.07.2021;;;;;10602;;;;272
Afghanistan;AFG;05.07.2021;915671;726349;189322;;8989;2.35;1.87;0.49;231
Afghanistan;AFG;06.07.2021;;;;;7895;;;;203
Afghanistan;AFG;07.07.2021;934463;735213;199250;;6801;2.4;1.89;0.51;175
Afghanistan;AFG;08.07.2021;;;;;6965;;;;179
Afghanistan;AFG;09.07.2021;;;;;7128;;;;183
Afghanistan;AFG;10.07.2021;;;;;7292;;;;187
Afghanistan;AFG;11.07.2021;962093;742934;219159;;7455;2.47;1.91;0.56;192
Africa;OWID_AFR;09.01.2021;0;0;;;;0;0;;
Africa;OWID_AFR;10.01.2021;;;;;500;;;;0
Africa;OWID_AFR;11.01.2021;;;;;500;;;;0
Africa;OWID_AFR;12.01.2021;;;;;500;;;;0
Africa;OWID_AFR;13.01.2021;2000;2000;;;500;0;0;;0
Africa;OWID_AFR;14.01.2021;;;;;600;;;;0
Africa;OWID_AFR;15.01.2021;4000;4000;;;667;0;0;;0
Africa;OWID_AFR;16.01.2021;7000;7000;;3000;1000;0;0;;1
Africa;OWID_AFR;17.01.2021;;;;;1118;;;;1
Africa;OWID_AFR;18.01.2021;;;;;1236;;;;1
Africa;OWID_AFR;19.01.2021;10976;10976;;;1354;0;0;;1
Africa;OWID_AFR;20.01.2021;13163;13163;;2187;1595;0;0;;1
Africa;OWID_AFR;21.01.2021;;;;;1718;;;;1
Africa;OWID_AFR;22.01.2021;16890;16890;;;1841;0;0;;1
Africa;OWID_AFR;23.01.2021;18353;18353;;1463;1622;0;0;;1
Africa;OWID_AFR;24.01.2021;18353;18353;;0;1433;0;0;;1
Africa;OWID_AFR;25.01.2021;19889;19889;;1536;1463;0;0;;1
Africa;OWID_AFR;26.01.2021;22712;22712;;2823;1677;0;0;;1
Africa;OWID_AFR;27.01.2021;25587;25587;;2875;1775;0;0;;1
Africa;OWID_AFR;28.01.2021;28779;28779;;3192;1965;0;0;;1
Africa;OWID_AFR;29.01.2021;30861;30861;;2082;1996;0;0;;1
Africa;OWID_AFR;30.01.2021;122206;32206;;91345;14836;0.01;0;;11
Africa;OWID_AFR;31.01.2021;158206;32206;;36000;19979;0.01;0;;15
Africa;OWID_AFR;01.02.2021;236712;36631;;78506;30975;0.02;0;;23
Africa;OWID_AFR;02.02.2021;295127;37836;;58415;38916;0.02;0;;29
Africa;OWID_AFR;03.02.2021;347149;38746;5;52022;45937;0.03;0;0;34
Africa;OWID_AFR;04.02.2021;390474;38746;5;43325;51671;0.03;0;0;39
Africa;OWID_AFR;05.02.2021;446986;38746;5;56512;59446;0.03;0;0;44
Africa;OWID_AFR;06.02.2021;504800;39248;1586;57814;54656;0.04;0;0;41
Africa;OWID_AFR;07.02.2021;;;;;55849;;;;42
Africa;OWID_AFR;08.02.2021;593502;39373;3980;;50970;0.04;0;0;38
Africa;OWID_AFR;09.02.2021;661263;39382;6700;67761;52305;0.05;0;0;39
Africa;OWID_AFR;10.02.2021;795836;39385;10335;134573;64098;0.06;0;0;48
Africa;OWID_AFR;11.02.2021;908796;39611;13867;112960;74046;0.07;0;0;55
Africa;OWID_AFR;12.02.2021;1165581;39611;13867;256785;102656;0.09;0;0;77
Africa;OWID_AFR;13.02.2021;1446178;43458;14181;280597;134483;0.11;0;0;100
Africa;OWID_AFR;14.02.2021;;;;;151062;;;;113
Africa;OWID_AFR;15.02.2021;1766999;43467;16441;;167642;0.13;0;0;125
Africa;OWID_AFR;16.02.2021;1965819;43474;18176;198820;186365;0.15;0;0;139
Africa;OWID_AFR;17.02.2021;2147659;47134;19512;181840;193118;0.16;0;0;144
Africa;OWID_AFR;18.02.2021;2303964;50176;22925;156305;199310;0.17;0;0;149
Africa;OWID_AFR;19.02.2021;2513999;2487533;32990;210035;192631;0.19;0.19;0;144
Africa;OWID_AFR;20.02.2021;2616931;2581856;45489;102932;167250;0.2;0.19;0;125
Africa;OWID_AFR;21.02.2021;2622421;2587346;50463;5490;145119;0.2;0.19;0;108
Africa;OWID_AFR;22.02.2021;2745898;2700632;68325;123477;139843;0.2;0.2;0.01;104
Africa;OWID_AFR;23.02.2021;2854362;2799750;86927;108464;126935;0.21;0.21;0.01;95
Africa;OWID_AFR;24.02.2021;3153546;3092856;102499;299184;143698;0.24;0.23;0.01;107
Africa;OWID_AFR;25.02.2021;3434869;3367724;119792;281323;161558;0.26;0.25;0.01;121
Africa;OWID_AFR;26.02.2021;3677524;3557568;183604;242655;166218;0.27;0.27;0.01;124
Africa;OWID_AFR;27.02.2021;3866267;3680812;252758;188743;178477;0.29;0.27;0.02;133
Africa;OWID_AFR;28.02.2021;3873994;3688539;255982;7727;178796;0.29;0.28;0.02;133
Africa;OWID_AFR;01.03.2021;4091848;3834638;330257;217854;192279;0.31;0.29;0.02;143
Africa;OWID_AFR;02.03.2021;4252773;3934686;394124;160925;199773;0.32;0.29;0.03;149
Africa;OWID_AFR;03.03.2021;4424168;4038877;468861;171395;181517;0.33;0.3;0.03;135
Africa;OWID_AFR;04.03.2021;4570159;4132507;529681;145991;162184;0.34;0.31;0.04;121
Africa;OWID_AFR;05.03.2021;4808230;4283668;624742;238071;161529;0.36;0.32;0.05;120
Africa;OWID_AFR;06.03.2021;5013197;4409635;705135;204967;163847;0.37;0.33;0.05;122
Africa;OWID_AFR;07.03.2021;5053898;4450336;705135;40701;168558;0.38;0.33;0.05;126
Africa;OWID_AFR;08.03.2021;5402174;4724256;779759;348276;187189;0.4;0.35;0.06;140
Africa;OWID_AFR;09.03.2021;5542597;4798917;850734;140423;184261;0.41;0.36;0.06;137
Africa;OWID_AFR;10.03.2021;5882799;5001631;1010055;340202;208376;0.44;0.37;0.08;155
Africa;OWID_AFR;11.03.2021;6071207;5072092;1137129;188408;214435;0.45;0.38;0.08;160
Africa;OWID_AFR;12.03.2021;6381226;5129231;1397210;310019;224714;0.48;0.38;0.1;168
Africa;OWID_AFR;13.03.2021;6784874;5286100;1644318;403648;253097;0.51;0.39;0.12;189
Africa;OWID_AFR;14.03.2021;6801397;5302623;1644318;16523;249643;0.51;0.4;0.12;186
Africa;OWID_AFR;15.03.2021;7194432;5399518;1942667;393035;256037;0.54;0.4;0.14;191
Africa;OWID_AFR;16.03.2021;7429911;5440673;2146524;235479;269616;0.55;0.41;0.16;201
Africa;OWID_AFR;17.03.2021;7631610;5487287;2312736;201699;249830;0.57;0.41;0.17;186
Africa;OWID_AFR;18.03.2021;7819050;5674476;2321849;187440;249692;0.58;0.42;0.17;186
Africa;OWID_AFR;19.03.2021;8101883;5746305;2563824;282833;245808;0.6;0.43;0.19;183
Africa;OWID_AFR;20.03.2021;8194242;5767632;2634856;92359;201338;0.61;0.43;0.2;150
Africa;OWID_AFR;21.03.2021;8215790;5789180;2634856;21548;202056;0.61;0.43;0.2;151
Africa;OWID_AFR;22.03.2021;8338031;5817779;2728498;122241;163371;0.62;0.43;0.2;122
Africa;OWID_AFR;23.03.2021;8484254;5891994;2820695;146223;150620;0.63;0.44;0.21;112
Africa;OWID_AFR;24.03.2021;9420365;6572947;3089404;936111;255536;0.7;0.49;0.23;191
Africa;OWID_AFR;25.03.2021;9708756;6633421;3329642;288391;269958;0.72;0.49;0.25;201
Africa;OWID_AFR;26.03.2021;9977284;6738850;3503614;268528;267914;0.74;0.5;0.26;200
Africa;OWID_AFR;27.03.2021;10303121;6962741;3606163;325837;301268;0.77;0.52;0.27;225
Africa;OWID_AFR;28.03.2021;10561970;7218927;3608826;258849;335169;0.79;0.54;0.27;250
Africa;OWID_AFR;29.03.2021;10774885;7305693;3743035;212915;348122;0.8;0.54;0.28;260
Africa;OWID_AFR;30.03.2021;10971670;7387045;3870510;196785;355345;0.82;0.55;0.29;265
Africa;OWID_AFR;31.03.2021;11475702;7744531;3995049;504032;293620;0.86;0.58;0.3;219
Africa;OWID_AFR;01.04.2021;11729279;7900844;4097537;253577;288646;0.87;0.59;0.31;215
Africa;OWID_AFR;02.04.2021;11883043;7977827;4174318;153764;272251;0.89;0.6;0.31;203
Africa;OWID_AFR;03.04.2021;12018282;8061371;4226013;135239;245023;0.9;0.6;0.32;183
Africa;OWID_AFR;04.04.2021;12082234;8131493;4226289;63952;217181;0.9;0.61;0.32;162
Africa;OWID_AFR;05.04.2021;12235736;8226641;4285890;153502;208693;0.91;0.61;0.32;156
Africa;OWID_AFR;06.04.2021;12575036;8521870;4333474;339300;229052;0.94;0.64;0.32;171
Africa;OWID_AFR;07.04.2021;12960258;8839889;4399278;385222;212079;0.97;0.66;0.33;158
Africa;OWID_AFR;08.04.2021;13697727;9540508;4443032;737469;281207;1.02;0.71;0.33;210
Africa;OWID_AFR;09.04.2021;13852802;9667716;4477593;155075;281394;1.03;0.72;0.33;210
Africa;OWID_AFR;10.04.2021;14012728;9789075;4516916;159926;284921;1.05;0.73;0.34;213
Africa;OWID_AFR;11.04.2021;14162114;9924158;4531219;149386;297126;1.06;0.74;0.34;222
Africa;OWID_AFR;12.04.2021;14271533;10035075;4533119;109419;290828;1.06;0.75;0.34;217
Africa;OWID_AFR;13.04.2021;14370977;10124510;4545964;99444;256563;1.07;0.76;0.34;191
Africa;OWID_AFR;14.04.2021;14732385;10473338;4558759;361408;253161;1.1;0.78;0.34;189
Africa;OWID_AFR;15.04.2021;14856238;10561218;4587643;123853;165502;1.11;0.79;0.34;123
Africa;OWID_AFR;16.04.2021;15083479;10775250;4600852;227241;175811;1.13;0.8;0.34;131
Africa;OWID_AFR;17.04.2021;15381972;11066612;4607983;298493;195606;1.15;0.83;0.34;146
Africa;OWID_AFR;18.04.2021;15949649;11612009;4630263;567677;255362;1.19;0.87;0.35;190
Africa;OWID_AFR;19.04.2021;16165548;11809547;4648624;215899;270574;1.21;0.88;0.35;202
Africa;OWID_AFR;20.04.2021;16331855;11960570;4663908;166307;280125;1.22;0.89;0.35;209
Africa;OWID_AFR;21.04.2021;16544427;12156964;4680086;212572;258863;1.23;0.91;0.35;193
Africa;OWID_AFR;22.04.2021;16648789;12243149;4698263;104362;256079;1.24;0.91;0.35;191
Africa;OWID_AFR;23.04.2021;16834942;12408548;4719017;186153;250209;1.26;0.93;0.35;187
Africa;OWID_AFR;24.04.2021;16889942;12454393;4728172;55000;215424;1.26;0.93;0.35;161
Africa;OWID_AFR;25.04.2021;16969006;12520419;4741210;79064;145622;1.27;0.93;0.35;109
Africa;OWID_AFR;26.04.2021;17068090;12604524;4756189;99084;128935;1.27;0.94;0.35;96
Africa;OWID_AFR;27.04.2021;17236966;12746366;4783223;168876;129302;1.29;0.95;0.36;96
Africa;OWID_AFR;28.04.2021;18296589;13765818;4828924;1059623;250309;1.36;1.03;0.36;187
Africa;OWID_AFR;29.04.2021;18389755;13849934;4847412;93166;248709;1.37;1.03;0.36;186
Africa;OWID_AFR;30.04.2021;18553655;13988176;4883135;163900;245530;1.38;1.04;0.36;183
Africa;OWID_AFR;01.05.2021;18680584;14102884;4896370;126929;255806;1.39;1.05;0.37;191
Africa;OWID_AFR;02.05.2021;18737275;14151044;4904901;56691;252610;1.4;1.06;0.37;188
Africa;OWID_AFR;03.05.2021;18912422;14294358;4947162;175147;263476;1.41;1.07;0.37;197
Africa;OWID_AFR;04.05.2021;19208548;14534060;5027669;296126;281655;1.43;1.08;0.38;210
Africa;OWID_AFR;05.05.2021;19465178;14750881;5082089;256630;166941;1.45;1.1;0.38;125
Africa;OWID_AFR;06.05.2021;19624749;14884557;5107984;159571;176428;1.46;1.11;0.38;132
Africa;OWID_AFR;07.05.2021;20217788;15433666;5166984;593039;237733;1.51;1.15;0.39;177
Africa;OWID_AFR;08.05.2021;20470315;15587003;5265792;252527;255676;1.53;1.16;0.39;191
Africa;OWID_AFR;09.05.2021;21199786;16063514;5518752;729471;351787;1.58;1.2;0.41;262
Africa;OWID_AFR;10.05.2021;21661190;16498949;5557471;461404;392681;1.62;1.23;0.41;293
Africa;OWID_AFR;11.05.2021;22093431;16908219;5599584;432241;412126;1.65;1.26;0.42;307
Africa;OWID_AFR;12.05.2021;23173695;17830591;5773834;1080264;529788;1.73;1.33;0.43;395
Africa;OWID_AFR;13.05.2021;23349124;17994423;5809870;175429;532054;1.74;1.34;0.43;397
Africa;OWID_AFR;14.05.2021;23545234;18156408;5863144;196110;475349;1.76;1.35;0.44;355
Africa;OWID_AFR;15.05.2021;23859320;18397252;5940520;314086;484144;1.78;1.37;0.44;361
Africa;OWID_AFR;16.05.2021;23952448;18481008;5950173;93128;393237;1.79;1.38;0.44;293
Africa;OWID_AFR;17.05.2021;24419413;18880694;6017452;466965;394032;1.82;1.41;0.45;294
Africa;OWID_AFR;18.05.2021;25194315;19509043;6165037;774902;442983;1.88;1.46;0.46;330
Africa;OWID_AFR;19.05.2021;25763252;19960693;6282324;568937;369937;1.92;1.49;0.47;276
Africa;OWID_AFR;20.05.2021;26225248;20334858;6370155;461996;410875;1.96;1.52;0.48;306
Africa;OWID_AFR;21.05.2021;26987320;20843338;6623750;762072;491727;2.01;1.55;0.49;367
Africa;OWID_AFR;22.05.2021;27828543;21569559;6738752;841223;567032;2.08;1.61;0.5;423
Africa;OWID_AFR;23.05.2021;28053621;21770776;6762613;225078;585882;2.09;1.62;0.5;437
Africa;OWID_AFR;24.05.2021;28560754;22211095;6829427;507133;591620;2.13;1.66;0.51;441
Africa;OWID_AFR;25.05.2021;29272868;22769170;6983466;712114;582650;2.18;1.7;0.52;435
Africa;OWID_AFR;26.05.2021;29659370;23030272;7112946;386502;556588;2.21;1.72;0.53;415
Africa;OWID_AFR;27.05.2021;29882022;23229364;7136506;222652;522396;2.23;1.73;0.53;390
Africa;OWID_AFR;28.05.2021;30063351;23372549;7174650;181329;439433;2.24;1.74;0.54;328
Africa;OWID_AFR;29.05.2021;30663033;23917247;7229634;599682;404927;2.29;1.78;0.54;302
Africa;OWID_AFR;30.05.2021;30985837;24172688;7296997;322804;418888;2.31;1.8;0.54;312
Africa;OWID_AFR;31.05.2021;33013499;25061396;8432067;2027662;636106;2.46;1.87;0.63;474
Africa;OWID_AFR;01.06.2021;33811846;25622043;8669767;798347;648425;2.52;1.91;0.65;484
Africa;OWID_AFR;02.06.2021;34313759;25939751;8853972;501913;664913;2.56;1.93;0.66;496
Africa;OWID_AFR;03.06.2021;34777465;26281757;8974862;463706;699349;2.59;1.96;0.67;522
Africa;OWID_AFR;04.06.2021;35024428;26401241;9103151;246963;708725;2.61;1.97;0.68;529
Africa;OWID_AFR;05.06.2021;35258291;26558999;9179256;233863;656465;2.63;1.98;0.68;490
Africa;OWID_AFR;06.06.2021;37924897;29032782;9372079;2666606;991294;2.83;2.17;0.7;739
Africa;OWID_AFR;07.06.2021;38507977;29312557;9675384;583080;784925;2.87;2.19;0.72;586
Africa;OWID_AFR;08.06.2021;39621288;29865512;10233397;1113311;829920;2.96;2.23;0.76;619
Africa;OWID_AFR;09.06.2021;40652703;30463917;10659761;1031415;905563;3.03;2.27;0.8;675
Africa;OWID_AFR;10.06.2021;41269728;30722635;11005031;617025;927466;3.08;2.29;0.82;692
Africa;OWID_AFR;11.06.2021;41636230;30863704;11218618;366502;944543;3.11;2.3;0.84;705
Africa;OWID_AFR;12.06.2021;41953770;31051917;11343901;317540;956497;3.13;2.32;0.85;713
Africa;OWID_AFR;13.06.2021;42041756;31110547;11369853;87986;588123;3.14;2.32;0.85;439
Africa;OWID_AFR;14.06.2021;42910815;31511518;11829564;869059;628977;3.2;2.35;0.88;469
Africa;OWID_AFR;15.06.2021;43905310;31776442;12542384;994495;612003;3.28;2.37;0.94;457
Africa;OWID_AFR;16.06.2021;44234342;31897465;12742530;329032;511663;3.3;2.38;0.95;382
Africa;OWID_AFR;17.06.2021;44617823;32040080;12981877;383481;478299;3.33;2.39;0.97;357
Africa;OWID_AFR;18.06.2021;44956772;32145667;13204768;338949;474363;3.35;2.4;0.98;354
Africa;OWID_AFR;19.06.2021;45090454;32189932;13292934;133682;448098;3.36;2.4;0.99;334
Africa;OWID_AFR;20.06.2021;45760612;32756548;13399247;670158;531265;3.41;2.44;1;396
Africa;OWID_AFR;21.06.2021;46482979;33102184;13775978;722367;510309;3.47;2.47;1.03;381
Africa;OWID_AFR;22.06.2021;46605659;33167892;13826587;122680;385764;3.48;2.47;1.03;288
Africa;OWID_AFR;23.06.2021;47246773;33599680;14025493;641114;430347;3.52;2.51;1.05;321
Africa;OWID_AFR;24.06.2021;48594362;34396670;14574476;1347589;568077;3.62;2.57;1.09;424
Africa;OWID_AFR;25.06.2021;48959743;34589176;14746943;365381;571853;3.65;2.58;1.1;427
Africa;OWID_AFR;26.06.2021;49154727;34659019;14871517;194984;580610;3.67;2.59;1.11;433
Africa;OWID_AFR;27.06.2021;49438664;34850120;14963958;283937;525436;3.69;2.6;1.12;392
Africa;OWID_AFR;28.06.2021;50299548;35286307;15372261;860884;545224;3.75;2.63;1.15;407
Africa;OWID_AFR;29.06.2021;50567135;35460998;15458292;267587;565925;3.77;2.65;1.15;422
Africa;OWID_AFR;30.06.2021;51089684;35741048;15691719;522549;548987;3.81;2.67;1.17;410
Africa;OWID_AFR;01.07.2021;51509734;36079185;15770679;420050;416482;3.84;2.69;1.18;311
Africa;OWID_AFR;02.07.2021;51670698;36160767;15837545;160964;387279;3.85;2.7;1.18;289
Africa;OWID_AFR;03.07.2021;51949869;36399630;15872850;279171;399306;3.88;2.72;1.18;298
Africa;OWID_AFR;04.07.2021;52326624;36595941;16051266;376755;412566;3.9;2.73;1.2;308
Africa;OWID_AFR;05.07.2021;53670328;37318809;16515906;1343704;481540;4;2.78;1.23;359
Africa;OWID_AFR;06.07.2021;54111063;37628563;16629838;440735;506275;4.04;2.81;1.24;378
Africa;OWID_AFR;07.07.2021;54372979;37805167;16730041;261916;469042;4.06;2.82;1.25;350
Africa;OWID_AFR;08.07.2021;54958045;37950118;17564135;585066;492616;4.1;2.83;1.31;367
Africa;OWID_AFR;09.07.2021;55277044;38174978;17679911;318999;515192;4.12;2.85;1.32;384
Africa;OWID_AFR;10.07.2021;55373389;38251580;17702461;96345;489074;4.13;2.85;1.32;365
Africa;OWID_AFR;11.07.2021;55484580;38335287;17729734;111191;451137;4.14;2.86;1.32;337
Africa;OWID_AFR;12.07.2021;56812460;38998582;18389178;1327880;448876;4.24;2.91;1.37;335
Albania;ALB;10.01.2021;0;0;;;;0;0;;
Albania;ALB;11.01.2021;;;;;64;;;;22
Albania;ALB;12.01.2021;128;128;;;64;0;0;;22
Albania;ALB;13.01.2021;188;188;;60;63;0.01;0.01;;22
Albania;ALB;14.01.2021;266;266;;78;66;0.01;0.01;;23
Albania;ALB;15.01.2021;308;308;;42;62;0.01;0.01;;22
Albania;ALB;16.01.2021;369;369;;61;62;0.01;0.01;;22
Albania;ALB;17.01.2021;405;405;;36;58;0.01;0.01;;20
Albania;ALB;18.01.2021;447;447;;42;55;0.02;0.02;;19
Albania;ALB;19.01.2021;483;483;;36;51;0.02;0.02;;18
Albania;ALB;20.01.2021;519;519;;36;47;0.02;0.02;;16
Albania;ALB;21.01.2021;549;549;;30;40;0.02;0.02;;14
Albania;ALB;22.01.2021;;;;;34;;;;12
Albania;ALB;23.01.2021;;;;;26;;;;9
Albania;ALB;24.01.2021;;;;;21;;;;7
